"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28"
"淡水區","房地(土地+建物)","新北市淡水區新市五路三段３８８號７樓","6.34","住","","","1100920.0","土地1建物1車位0","七層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","74.88","1.0","1.0","1.0","有","有","有","16000.0","214.0","","0.0","0.0","","RPWRMLSLRHGGFEF37CC"
"淡水區","房地(土地+建物)","新北市淡水區新市五路三段４００號１４樓","8.01","住","","","1100907.0","土地1建物1車位0","十四層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","94.61","2.0","1.0","1.0","有","有","有","22500.0","238.0","","0.0","0.0","","RPTRMLSLRHGGFEF07CC"
"淡水區","房地(土地+建物)","新北市淡水區新市五路三段４３０號１１樓","5.48","住","","","1100905.0","土地1建物1車位0","十一層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","64.89","1.0","1.0","1.0","有","有","有","14500.0","223.0","","0.0","0.0","","RPSSMLSLRHGGFEF07CC"
"淡水區","房地(土地+建物)","新北市淡水區新市五路三段４３８號１３樓","4.87","商","","","1100919.0","土地1建物1車位0","十三層","29.0","住宅大樓(11層含以上有電梯)","集合住宅","鋼筋混凝土造","1080822.0","57.7","1.0","1.0","1.0","有","有","有","14000.0","243.0","","0.0","0.0","","RPQTMLMLRHGGFEF98CC"
"淡水區","房地(土地+建物)","新北市淡水區新民街１２０巷２號三樓","29.99","住","","","1100922.0","土地3建物1車位0","三層","5.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","770902.0","143.26","6.0","0.0","6.0","有","無","有","5500.0","38.0","","0.0","0.0","此為分租套房其中一間。租金包含網路、第四台費用","RPSQMLMLRHGGFEF88CC"
"淡水區","房地(土地+建物)","新北市淡水區新民街１５２巷２５號","64.9","住","","","1100921.0","土地1建物1車位0","一層","3.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","660317.0","101.0","6.0","0.0","6.0","有","無","有","5500.0","54.0","","0.0","0.0","此為分租套房其中一間。租金包含網路第四台","RPTRMLOLRHGGFEF66CC"
"淡水區","房地(土地+建物)","新北市淡水區新民街２１８之２號","28.98","住","","","1100930.0","土地1建物1車位0","三層","5.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","690614.0","103.32","6.0","0.0","6.0","有","無","有","5000.0","48.0","","0.0","0.0","此為分租套房其中一間。租金包含網路、第四台","RPUQMLKMRHGGFEF98CC"
"淡水區","房地(土地+建物)","新北市淡水區新民街７６巷２０號三樓","29.73","住","","","1100924.0","土地1建物1車位0","三層","5.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","691009.0","86.7","1.0","0.0","1.0","有","無","有","3500.0","40.0","","0.0","0.0","此為分租套房其中一間","RPXQMLRLRHGGFEF27CC"
"淡水區","房地(土地+建物)","新北市淡水區學府路２０５巷４號四樓","57.42","住","","","1100915.0","土地1建物1車位0","四層","5.0","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","691119.0","106.55","1.0","0.0","1.0","有","無","有","6500.0","61.0","","0.0","0.0","此為分租套房其中一間","RPORMLRLRHGGFEF09CC"
"淡水區","房地(土地+建物)","新北市淡水區濱海路三段１４８巷５號十樓","36.21","住","","","1100929.0","土地1建物1車位0","十層","11.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1030613.0","136.74","3.0","2.0","2.0","有","有","有","20000.0","146.0","","0.0","0.0","","RPQQMLKMRHGGFEF58CC"
